ECD,Area,Mean,StdDev,Mode,Min,Max,Perim.,Width,Height,Major,Minor,Circ.,Feret,IntDen,Class
0.980132254597654,0.7545,0.4409,0.3691,0.02,0.012,1.02,7.9145,2.0525,1.5341,1.2428,0.7729,0.1514,2.0579,0.3326,Gymnoplea
0.4362903986313552,0.1495,0.2593,0.211,0.016,0.012,0.672,1.8643,0.5396,0.6242,0.6808,0.2797,0.5407,0.7662,0.0388,Poecilostomatoida
0.7537370130627987,0.4462,0.2628,0.2173,0.016,0.012,0.628,3.6234,0.7618,1.3648,1.3187,0.4308,0.4271,1.4676,0.1173,Gymnoplea
1.6276845040378454,2.0808,0.3685,0.2669,0.02,0.012,0.864,12.5765,2.4334,2.4334,2.3729,1.1165,0.1653,2.9296,0.7667,Gymnoplea
0.4507871241947045,0.1596,0.2052,0.1934,0.016,0.012,0.656,2.6677,0.5819,0.8041,0.643,0.3161,0.2818,0.8066,0.0328,Cyclopoida
0.38447771215475207,0.1161,0.2721,0.2267,0.016,0.012,0.688,1.6033,0.3068,0.6348,0.585,0.2527,0.5675,0.6404,0.0316,Poecilostomatoida
0.6698429782901896,0.3524,0.1774,0.1473,0.016,0.012,0.524,6.0222,1.2802,1.4495,0.7317,0.6132,0.1221,1.8523,0.0625,Gymnoplea
0.446102388294555,0.1563,0.2025,0.1647,0.016,0.012,0.54,2.4852,0.4973,0.7512,0.6748,0.2949,0.3179,0.7586,0.0316,Gymnoplea
0.22511093682995387,0.0398,0.22,0.2034,0.02,0.016,0.756,0.74,0.2116,0.2328,0.2358,0.2152,0.9145,0.2557,0.0088,other
0.2976868695686246,0.0696,0.2433,0.2304,0.016,0.016,0.812,0.9892,0.2857,0.3068,0.3118,0.2843,0.8941,0.3321,0.0169,other
0.438328469644097,0.1509,0.158,0.1194,0.02,0.012,0.424,2.2545,0.3174,0.8887,0.769,0.2498,0.373,0.8993,0.0238,Cyclopoida
0.7421613214473194,0.4326,0.3052,0.2313,0.016,0.012,0.812,4.4704,0.6454,1.2484,1.1813,0.4663,0.272,1.3182,0.132,Gymnoplea
0.4352677845379695,0.1488,0.1764,0.1551,0.016,0.012,0.536,2.8174,0.8676,0.656,0.5772,0.3282,0.2355,0.874,0.0262,Cyclopoida
1.7974552413802898,2.5375,0.0669,0.0662,0.036,0.012,0.464,13.7603,4.6235,4.0945,5.3371,0.6053,0.1684,5.9917,0.1696,other
0.5934459184068469,0.2766,0.1312,0.1151,0.02,0.012,0.452,4.5875,1.4918,0.7618,1.0645,0.3308,0.1652,1.5082,0.0363,Cyclopoida
0.49699946848927473,0.194,0.1588,0.1402,0.016,0.012,0.444,3.5321,0.8993,0.7829,0.6189,0.3991,0.1954,0.9572,0.0308,Cyclopoida
0.6927365909280979,0.3769,0.136,0.1196,0.02,0.012,0.516,6.4803,1.9044,1.259,1.0049,0.4775,0.1128,1.9047,0.0512,Cyclopoida
0.4459596583634359,0.1562,0.2524,0.2085,0.02,0.012,0.628,2.112,0.4867,0.6771,0.6701,0.2967,0.4399,0.7929,0.0394,Cyclopoida
0.2976868695686246,0.0696,0.1287,0.1494,0.028,0.016,0.736,0.9717,0.2751,0.3068,0.3146,0.2818,0.9267,0.3218,0.009,other
0.20342144725641095,0.0325,0.116,0.0931,0.016,0.016,0.436,0.6615,0.1799,0.2222,0.2233,0.1851,0.9321,0.2284,0.0038,other
2.277509732426314,4.0739,0.3942,0.3488,1.02,0.012,1.02,25.2152,3.5549,5.0255,3.6116,1.4362,0.0805,5.3395,1.6059,Gymnoplea
0.4252058505622813,0.142,0.1575,0.1345,0.016,0.012,0.504,2.3593,0.5607,0.7618,0.7012,0.2579,0.3207,0.8561,0.0224,Cyclopoida
0.4381832075126368,0.1508,0.3927,0.3485,1.02,0.012,1.02,1.4639,0.4549,0.4338,0.4524,0.4244,0.8841,0.4755,0.0592,other
0.7079174279587698,0.3936,0.1971,0.162,0.02,0.012,0.54,6.0646,1.3542,1.4071,0.9097,0.5509,0.1345,1.5901,0.0776,Gymnoplea
0.21498510523728476,0.0363,0.1693,0.1319,0.032,0.016,0.56,0.7064,0.2116,0.2222,0.2266,0.2038,0.9133,0.2378,0.0061,other
1.0837140564114291,0.9224,0.0625,0.0576,0.02,0.012,0.392,9.5167,3.8511,1.9361,2.8902,0.4063,0.128,4.1983,0.0576,other
0.9378453377306145,0.6908,0.2857,0.2485,0.02,0.012,0.864,5.6118,0.8676,1.3225,1.2397,0.7094,0.2756,1.4159,0.1973,Gymnoplea
0.8854002415255147,0.6157,0.27,0.236,0.016,0.012,0.884,4.9537,0.9205,1.4071,1.2997,0.6031,0.3153,1.4634,0.1662,Gymnoplea
1.6806790086137682,2.2185,0.3562,0.2737,0.016,0.012,1.02,11.2316,2.6873,1.8938,2.7813,1.0156,0.221,3.0325,0.7902,Gymnoplea
0.2717496892263898,0.058,0.173,0.1305,0.02,0.016,0.448,0.8896,0.2539,0.2962,0.297,0.2486,0.9207,0.3054,0.01,other
