ECD,Area,Mean,StdDev,Mode,Min,Max,Perim.,Width,Height,Major,Minor,Circ.,Feret,IntDen,Class
0.914752988,0.6572,0.2404,0.1873,0.008,0.004,0.796,7.2004,1.4177,1.3119,1.147,0.7295,0.1593,1.5187,0.158,Calanoida
0.685252321,0.3688,0.2858,0.215,0.032,0.004,0.704,4.5457,1.0157,0.6983,0.9091,0.5166,0.2243,1.1667,0.1054,Calanoida
1.792525402,2.5236,0.2651,0.132,0.012,0.004,0.696,15.7138,5.7238,3.4068,6.8197,0.4712,0.1284,6.4168,0.6689,Chaetognatha
0.508021314,0.2027,0.2129,0.2105,0.008,0.004,0.664,3.6544,0.8041,0.9734,0.6927,0.3726,0.1908,1.0444,0.0431,Oncaeidae
0.619684635,0.3016,0.3156,0.2461,0.012,0.004,0.756,3.9827,1.1532,0.656,1.038,0.3699,0.2389,1.1888,0.0952,Oncaeidae
1.475245184,1.7093,0.1096,0.0797,0.072,0.004,0.608,14.3299,1.4812,5.9777,6.034,0.3607,0.1046,6.1074,0.1873,Chaetognatha
0.500954603,0.1971,0.2013,0.1248,0.032,0.004,0.448,2.6141,0.5184,0.8358,0.8801,0.2852,0.3625,0.9331,0.0397,Calanoida
2.511144394,4.9526,0.2583,0.1357,0.012,0.004,0.748,24.2068,3.8088,8.9613,10.0132,0.6298,0.1062,9.6269,1.2793,Chaetognatha
0.519912257,0.2123,0.2263,0.1679,0.02,0.004,0.612,2.9758,0.9416,0.6454,0.8667,0.3119,0.3013,0.9835,0.0481,Oncaeidae
0.477798964,0.1793,0.1717,0.1183,0.032,0.008,0.496,2.5048,0.4655,0.857,0.7801,0.2927,0.3592,0.8593,0.0308,Oncaeidae
0.899736463,0.6358,0.3076,0.2221,0.012,0.004,0.808,7.2081,1.4177,1.1744,1.1322,0.715,0.1538,1.4749,0.1956,Calanoida
0.49159014,0.1898,0.2091,0.1709,0.012,0.004,0.604,3.204,0.4973,0.8676,0.7845,0.3081,0.2324,0.9033,0.0397,Oncaeidae
0.489643754,0.1883,0.1956,0.1585,0.036,0.004,0.66,2.6209,0.4126,0.9522,0.9104,0.2633,0.3444,0.9569,0.0368,Oncaeidae
1.859259359,2.715,0.2519,0.1203,0.344,0.004,0.664,16.8127,6.5067,1.6716,6.6749,0.5179,0.1207,6.5551,0.6838,Chaetognatha
1.982321671,3.0863,0.2331,0.1057,0.2,0.008,0.696,15.201,6.1047,2.3593,6.7406,0.583,0.1678,6.4271,0.7194,Chaetognatha
2.161310075,3.6688,0.217,0.123,0.008,0.004,0.74,21.109,4.4859,7.078,8.5733,0.5449,0.1035,8.0085,0.7963,Chaetognatha
0.772095043,0.4682,0.1687,0.1451,0.008,0.004,0.536,7.858,0.857,1.46,1.1586,0.5145,0.0953,1.4685,0.079,Calanoida
0.547002096,0.235,0.1659,0.1498,0.012,0.004,0.548,4.0109,1.0686,0.8252,0.8669,0.3451,0.1835,1.0728,0.039,Oncaeidae
0.844929235,0.5607,0.2566,0.2241,0.012,0.004,0.8,6.2505,1.1109,1.1426,1.0735,0.665,0.1803,1.3846,0.1439,Calanoida
1.329334106,1.3879,0.1717,0.0916,0.188,0.004,0.584,10.924,2.2112,4.4648,5.2398,0.3372,0.1462,4.9008,0.2382,Chaetognatha
1.03540702,0.842,0.3028,0.2222,0.012,0.004,0.792,8.5698,1.4918,1.4495,1.2366,0.867,0.1441,1.7436,0.255,Calanoida
1.832808744,2.6383,0.226,0.1298,0.16,0.004,0.768,16.4589,3.7136,6.0412,5.01,0.6705,0.1224,6.9554,0.5964,Chaetognatha
1.30433994,1.3362,0.1604,0.083,0.196,0.004,0.476,11.8659,3.4914,3.8934,5.1835,0.3282,0.1193,4.9603,0.2143,Chaetognatha
0.58174485,0.2658,0.1292,0.1273,0.008,0.004,0.536,5.173,0.9734,0.931,0.6401,0.5288,0.1248,1.0174,0.0344,Calanoida
0.872361895,0.5977,0.3192,0.2247,0.008,0.004,0.72,7.6922,1.2696,1.4177,1.0775,0.7063,0.1269,1.5369,0.1908,Calanoida
0.884896785,0.615,0.2658,0.1991,0.008,0.004,0.668,8.1312,1.3648,1.3966,1.0446,0.7496,0.1169,1.5446,0.1635,Calanoida
1.168131337,1.0717,0.1581,0.0998,0.096,0.004,0.612,10.084,4.0521,1.9996,4.7133,0.2895,0.1324,4.4245,0.1694,Chaetognatha
1.309357494,1.3465,0.1912,0.1053,0.268,0.004,0.636,10.7528,1.9573,4.232,4.7126,0.3638,0.1463,4.5845,0.2575,Chaetognatha
0.769782881,0.4654,0.3631,0.2313,0.036,0.004,0.908,4.4469,1.3013,0.8464,1.164,0.5091,0.2958,1.3168,0.169,Oncaeidae
3.094105386,7.519,0.0612,0.0775,0.02,0.004,0.56,29.1309,1.8303,10.0616,8.8182,1.0857,0.1113,10.1427,0.4602,Chaetognatha
2.196314035,3.7886,0.2973,0.1209,0.36,0.012,0.776,18.255,6.9405,4.1579,8.3398,0.5784,0.1429,7.8243,1.1263,Chaetognatha
1.980618852,3.081,0.2524,0.1296,0.264,0.004,0.732,18.7094,7.3743,1.8303,7.5484,0.5197,0.1106,7.4429,0.7776,Chaetognatha
0.609220262,0.2915,0.1858,0.143,0.012,0.004,0.484,4.6374,1.0897,0.8358,0.8972,0.4137,0.1703,1.2707,0.0542,Calanoida
1.025584315,0.8261,0.2628,0.2168,0.008,0.004,0.648,10.6205,1.6399,1.6611,1.1867,0.8863,0.092,1.806,0.2171,Calanoida
0.822014736,0.5307,0.2648,0.1956,0.012,0.004,0.664,7.0826,1.46,1.2273,1.183,0.5712,0.1329,1.4631,0.1405,Calanoida
1.108054553,0.9643,0.1238,0.0723,0.144,0.004,0.408,9.2045,2.7296,3.2904,3.6948,0.3323,0.143,4.1561,0.1194,Chaetognatha
2.459995982,4.7529,0.1265,0.1246,0.068,0.004,0.84,23.8101,2.5709,9.8077,6.0907,0.9936,0.1054,9.96,0.6014,Chaetognatha
0.538320834,0.2276,0.1649,0.1564,0.016,0.004,0.532,3.9062,0.9734,0.6348,0.8129,0.3564,0.1874,0.9918,0.0375,Oncaeidae
0.546536364,0.2346,0.217,0.1775,0.02,0.004,0.56,4.112,0.7829,0.9099,0.6642,0.4498,0.1744,0.9296,0.0509,Calanoida
0.585344994,0.2691,0.1995,0.1603,0.008,0.004,0.52,4.3505,0.9734,0.8676,0.6639,0.5161,0.1787,1.0885,0.0537,Calanoida
0.867605451,0.5912,0.2622,0.179,0.012,0.004,0.604,7.7203,1.2696,1.4071,1.3686,0.55,0.1247,1.7417,0.155,Calanoida
1.810512416,2.5745,0.25,0.1238,0.264,0.004,0.796,15.4535,6.0729,3.7559,5.473,0.5989,0.1355,7.0858,0.6438,Chaetognatha
0.658339381,0.3404,0.2026,0.1846,0.012,0.004,0.676,5.9444,1.259,1.0474,0.6839,0.6337,0.1211,1.2703,0.069,Calanoida
2.331024899,4.2676,0.1697,0.1079,0.14,0.004,0.748,21.6947,4.7187,6.6548,4.043,1.344,0.1139,7.7484,0.7242,Chaetognatha
2.053092019,3.3106,0.2638,0.1282,0.388,0.004,0.696,17.5201,6.9722,3.3856,8.0596,0.523,0.1355,7.5505,0.8732,Chaetognatha
3.02350877,7.1798,0.0543,0.0695,0.024,0.004,0.632,23.8856,3.9887,8.4957,8.8136,1.0372,0.1581,9.2088,0.3899,Chaetognatha
0.467154426,0.1714,0.1559,0.1528,0.008,0.004,0.552,3.528,0.9839,0.7512,0.6519,0.3347,0.173,1.0111,0.0267,Oncaeidae
0.511766914,0.2057,0.2078,0.1878,0.008,0.004,0.604,3.7247,0.9628,0.857,0.6593,0.3974,0.1864,1.0179,0.0428,Oncaeidae
2.134576078,3.5786,0.2432,0.1071,0.284,0.008,0.688,17.8123,4.4965,6.0623,7.9053,0.5764,0.1417,7.4029,0.8703,Chaetognatha
0.604499586,0.287,0.1631,0.1284,0.012,0.004,0.432,5.029,1.1109,1.0263,0.8105,0.4509,0.1426,1.1506,0.0468,Calanoida
0.680684854,0.3639,0.3263,0.261,0.008,0.004,0.88,4.6709,1.3542,0.8358,1.1046,0.4194,0.2096,1.3661,0.1188,Oncaeidae
3.38079045,8.9769,0.1188,0.1164,0.076,0.004,0.788,24.7346,9.5537,1.9679,8.1644,1.3999,0.1844,9.5626,1.0664,Chaetognatha
1.51408976,1.8005,0.2023,0.0955,0.168,0.004,0.588,11.9314,5.4699,0.5819,5.6273,0.4074,0.1589,5.47,0.3642,Chaetognatha
0.637009767,0.3187,0.2635,0.2241,0.008,0.004,0.888,4.7951,0.9416,1.185,0.978,0.4149,0.1742,1.2732,0.084,Oncaeidae
2.380505669,4.4507,0.255,0.1365,0.392,0.004,0.752,25.5635,3.6818,8.4746,9.2534,0.61240000000000006,0.0856,8.874,1.135,Chaetognatha
0.64869536,0.3305,0.335,0.2291,0.012,0.004,0.94,3.5236,0.9945,0.9945,1.0206,0.4124,0.3346,1.1167,0.1107,Oncaeidae
0.987573537,0.766,0.2379,0.1912,0.012,0.004,0.612,6.3232,1.5553,1.1638,1.4975,0.6513,0.2407,1.7388,0.1822,Calanoida
1.333016545,1.3956,0.2634,0.1363,0.256,0.008,0.628,8.9625,1.5129,2.0948,1.7134,1.0371,0.2183,2.2258,0.3676,Chaetognatha
1.404276827,1.5488,0.1814,0.1185,0.112,0.008,0.704,11.2179,1.9256,4.634,4.4906,0.4391,0.1547,4.9346,0.281,Chaetognatha
0.501208701,0.1973,0.1737,0.1487,0.008,0.004,0.512,3.6214,0.9628,0.7512,0.7074,0.3552,0.1891,0.9814,0.0343,Oncaeidae
0.553596205,0.2407,0.2236,0.1709,0.02,0.004,0.552,3.8087,0.7512,0.6877,0.6839,0.4481,0.2085,0.8692,0.0538,Calanoida
1.889723512,2.8047,0.2621,0.1295,0.292,0.008,0.884,16.1972,6.7289,3.0999,7.3634,0.485,0.1343,7.3091,0.735,Chaetognatha
0.76887263,0.4643,0.1455,0.1479,0.008,0.004,0.576,8.6648,1.4495,1.3542,0.9175,0.6443,0.0777,1.4504,0.0676,Calanoida
0.534046494,0.224,0.2346,0.1799,0.012,0.004,0.78,3.1991,0.931,0.8041,0.8902,0.3204,0.275,1.0316,0.0525,Oncaeidae
0.599317008,0.2821,0.1876,0.168,0.008,0.004,0.544,5.0424,0.7618,0.9099,0.7586,0.4734,0.1394,0.9784,0.0529,Calanoida
0.660559757,0.3427,0.2552,0.1836,0.028,0.004,0.732,4.5949,0.9522,0.9839,1.0404,0.4195,0.204,1.1844,0.0875,Calanoida
0.476331069,0.1782,0.1474,0.1477,0.016,0.004,0.508,4.2148,0.7089,0.7723,0.5593,0.4057,0.1261,0.9864,0.0263,Calanoida
0.635609084,0.3173,0.2163,0.1773,0.012,0.004,0.656,4.4568,1.259,0.857,1.0205,0.3959,0.2008,1.2767,0.0686,Oncaeidae
0.504374128,0.1998,0.2128,0.1936,0.008,0.004,0.612,3.6136,0.9099,0.7406,0.6744,0.3773,0.1923,0.9243,0.0425,Oncaeidae
0.96889603,0.7373,0.3285,0.2492,0.008,0.004,0.852,8.9606,1.5024,1.5447,1.2232,0.7675,0.1154,1.6612,0.2422,Calanoida
0.485203042,0.1849,0.1895,0.1423,0.024,0.004,0.532,2.8701,0.402,0.931,0.8902,0.2645,0.2821,0.9623,0.035,Oncaeidae
0.642482887,0.3242,0.2347,0.2278,0.008,0.004,0.716,5.4058,1.0474,0.8464,0.7316,0.5642,0.1394,1.061,0.0761,Calanoida
0.470007512,0.1735,0.1892,0.1702,0.02,0.004,0.584,3.2389,0.8252,0.9416,0.6348,0.348,0.2078,0.969,0.0328,Oncaeidae
0.786715795,0.4861,0.3151,0.2421,0.016,0.004,0.904,5.6958,1.6611,0.8676,1.3998,0.4422,0.1883,1.6623000000000001,0.1532,Oncaeidae
2.4328284,4.6485,0.2602,0.1234,0.008,0.004,0.736,23.5265,5.2794,7.5435,9.6247,0.6149,0.1055,8.8732,1.2093,Chaetognatha
0.921340765,0.6667,0.2568,0.1695,0.008,0.004,0.576,7.0474,1.3331,1.3754,1.4988,0.5664,0.1687,1.7136,0.1712,Calanoida
1.181785284,1.0969,0.2046,0.1345,0.244,0.008,0.68,9.4776,3.6501,1.989,4.308,0.3242,0.1534,4.0086,0.2244,Chaetognatha
0.788494052,0.4883,0.3049,0.2366,0.012,0.004,0.924,5.2531,1.5976,0.8676,1.3427,0.463,0.2223,1.6065,0.1489,Oncaeidae
2.319471141,4.2254,0.0623,0.0655,0.024,0.004,0.552,20.8631,6.6337,4.0945,5.2902,1.017,0.122,7.6497,0.2633,Chaetognatha
